lista funzioni
go_exec_js_function                             called by 27 funz.  	 non chiama nessuno
seqCode                                         called by 18 funz.  	 non chiama nessuno
rowListFromFile                                 called by 9 funz.  	 calls 1 funz.
cleanRow                                        called by 7 funz.  	 non chiama nessuno
lookForWordInUniqueAlpha                        called by 7 funz.  	 non chiama nessuno
writeList                                       called by 7 funz.  	 non chiama nessuno
lookForLemma                                    called by 5 funz.  	 non chiama nessuno
getRowIndicesFromIxFreqWord                     called by 4 funz.  	 non chiama nessuno
reverseString                                   called by 4 funz.  	 non chiama nessuno
word_to_row                                     called by 4 funz.  	 calls 3 funz.
bind_go_passToJs_betweenWordList_V3             called by 3 funz.  	 calls 2 funz.
bind_go_passToJs_thisWordRowList                called by 3 funz.  	 calls 5 funz.
build_and_elab_word_list                        called by 3 funz.  	 calls 2 funz.
build_one_lemma_row_word                        called by 3 funz.  	 calls 1 funz.
checkTheWord                                    called by 3 funz.  	 calls 1 funz.
getListInverseWordIndex                         called by 3 funz.  	 calls 3 funz.
showErrMsg2                                     called by 3 funz.  	 calls 1 funz.
stdCode                                         called by 3 funz.  	 non chiama nessuno
OLD_bind_go_passToJs_thisWordRowList            called by 2 funz.  	 calls 5 funz.
begin                                           called by 2 funz.  	 calls 6 funz.
bind_go_passToJs_suffixLemmaList                called by 2 funz.  	 calls 3 funz.
bind_go_passToJs_word_known                     called by 2 funz.  	 calls 1 funz.
endBegin                                        called by 2 funz.  	 non chiama nessuno
getFileByteSize                                 called by 2 funz.  	 non chiama nessuno
getListInverseLemmaIndex                        called by 2 funz.  	 calls 2 funz.
getRowIndexFromWordIndex                        called by 2 funz.  	 calls 4 funz.
getScreenXY                                     called by 2 funz.  	 non chiama nessuno
get_word_row_list                               called by 2 funz.  	 calls 5 funz.
lemma_word_to_row                               called by 2 funz.  	 calls 1 funz.
listStringLemmaSlice_Tran                       called by 2 funz.  	 non chiama nessuno
lookForInverse                                  called by 2 funz.  	 non chiama nessuno
notFoundLemma_row                               called by 2 funz.  	 non chiama nessuno
notFoundWord_row                                called by 2 funz.  	 non chiama nessuno
sort_lemmaTran2                                 called by 2 funz.  	 non chiama nessuno
tranFromIxLemma                                 called by 2 funz.  	 non chiama nessuno
write_lastValueSets                             called by 2 funz.  	 calls 1 funz.
addCodedWordToWordSlice                         called by 1 funz.  	 calls 1 funz.
addTotRowToWord                                 called by 1 funz.  	 calls 1 funz.
addUnknowToLemma                                called by 1 funz.  	 non chiama nessuno
addWordLemmaTranLevelParadigma                  called by 1 funz.  	 calls 6 funz.
add_ixWord_to_WordSliceFreq                     called by 1 funz.  	 non chiama nessuno
add_wordCombinations                            called by 1 funz.  	 calls 3 funz.
appendOneLemma                                  called by 1 funz.  	 non chiama nessuno
begin_GO_HTML_Talk                              called by 1 funz.  	 calls 1 funz.
bind_go_passToJs_betweenLemmaList_V3            called by 1 funz.  	 calls 5 funz.
bind_go_passToJs_getIxRowFromGroup              called by 1 funz.  	 calls 3 funz.
bind_go_passToJs_getRowsByIxLemma               called by 1 funz.  	 calls 5 funz.
bind_go_passToJs_getRowsByIxWord                called by 1 funz.  	 calls 3 funz.
bind_go_passToJs_getWordByIndex2                called by 1 funz.  	 calls 1 funz.
bind_go_passToJs_html_and_go_ready              called by 1 funz.  	 calls 1 funz.
bind_go_passToJs_html_is_ready                  called by 1 funz.  	 calls 1 funz.
bind_go_passToJs_lemmaWordList                  called by 1 funz.  	 calls 4 funz.
bind_go_passToJs_prefixWordList                 called by 1 funz.  	 calls 1 funz.
bind_go_passToJs_rowList                        called by 1 funz.  	 calls 3 funz.
bind_go_passToJs_rowWordList                    called by 1 funz.  	 calls 2 funz.
bind_go_passToJs_someWordsRowList               called by 1 funz.  	 calls 6 funz.
bind_go_passToJs_wordList                       called by 1 funz.  	 calls 5 funz.
bind_go_passToJs_word_known2                    called by 1 funz.  	 calls 2 funz.
bind_go_passToJs_write_WordsToLearn             called by 1 funz.  	 calls 2 funz.
bind_go_write_lang_dictionary                   called by 1 funz.  	 calls 1 funz.
bind_go_write_row_dictionary                    called by 1 funz.  	 calls 2 funz.
bind_go_write_word_dictionary                   called by 1 funz.  	 calls 3 funz.
buildListLemmaSlice                             called by 1 funz.  	 calls 2 funz.
buildStatistics                                 called by 1 funz.  	 calls 1 funz.
buildWordList                                   called by 1 funz.  	 calls 4 funz.
build_lemma_word_ix                             called by 1 funz.  	 non chiama nessuno
build_listOfLemmaForAWord                       called by 1 funz.  	 calls 2 funz.
build_uniqueWord_byFreqAlpha                    called by 1 funz.  	 calls 3 funz.
check                                           called by 1 funz.  	 non chiama nessuno
check_wordLemma_sameCode                        called by 1 funz.  	 non chiama nessuno
compound_lemma                                  called by 1 funz.  	 non chiama nessuno
containIntList                                  called by 1 funz.  	 non chiama nessuno
contains                                        called by 1 funz.  	 non chiama nessuno
elabWordAlpha_buildWordFreqList                 called by 1 funz.  	 non chiama nessuno
elabWordList                                    called by 1 funz.  	 calls 6 funz.
findIndex                                       called by 1 funz.  	 non chiama nessuno
fun_wordListToRowList_dett                      called by 1 funz.  	 non chiama nessuno
fun_wordListToRowList_head                      called by 1 funz.  	 calls 3 funz.
getAllWords                                     called by 1 funz.  	 non chiama nessuno
getCompleteHtmlPath                             called by 1 funz.  	 non chiama nessuno
getInt                                          called by 1 funz.  	 non chiama nessuno
getMainPageLastVal2                             called by 1 funz.  	 non chiama nessuno
getPgmArgs                                      called by 1 funz.  	 non chiama nessuno
getWordList                                     called by 1 funz.  	 calls 1 funz.
get_all_binds                                   called by 1 funz.  	 calls 22 funz.
get_rowid2                                      called by 1 funz.  	 non chiama nessuno
get_separablePrefix                             called by 1 funz.  	 non chiama nessuno
intSliceToString                                called by 1 funz.  	 non chiama nessuno
loadInverseLemmaSlice                           called by 1 funz.  	 calls 1 funz.
loadInverseWordSlice                            called by 1 funz.  	 calls 1 funz.
lookForAllLemmas                                called by 1 funz.  	 calls 2 funz.
lookForAllLemmas2                               called by 1 funz.  	 calls 2 funz.
lookForAllParadigma                             called by 1 funz.  	 calls 1 funz.
lookForLemmaWord                                called by 1 funz.  	 non chiama nessuno
lookForParadigma                                called by 1 funz.  	 non chiama nessuno
lookForTranslation                              called by 1 funz.  	 non chiama nessuno
lookForWordLemmaPair                            called by 1 funz.  	 non chiama nessuno
myOpenRead                                      called by 1 funz.  	 calls 2 funz.
print_wordIx                                    called by 1 funz.  	 non chiama nessuno
provaInverseLemma                               called by 1 funz.  	 calls 1 funz.
prtFloat                                        called by 1 funz.  	 non chiama nessuno
prtInt                                          called by 1 funz.  	 non chiama nessuno
putWordFrequenceInRowArray                      called by 1 funz.  	 non chiama nessuno
put_a_priority_to_the_row_of_each_word          called by 1 funz.  	 calls 1 funz.
read_ParadigmaFile                              called by 1 funz.  	 calls 4 funz.
read_all_files                                  called by 1 funz.  	 calls 11 funz.
read_control_file                               called by 1 funz.  	 calls 2 funz.
read_dictLang_file                              called by 1 funz.  	 calls 1 funz.
read_dictLemmaTran_file                         called by 1 funz.  	 calls 3 funz.
read_dictRow_Orig_and_Tran_file                 called by 1 funz.  	 calls 3 funz.
read_languageFile                               called by 1 funz.  	 calls 2 funz.
read_lastValueSets2                             called by 1 funz.  	 calls 3 funz.
read_lemma_file                                 called by 1 funz.  	 calls 6 funz.
read_wordsToLearn                               called by 1 funz.  	 calls 4 funz.
rewrite_LemmaTranDict_file                      called by 1 funz.  	 calls 1 funz.
rewrite_word_lemma_dictionary                   called by 1 funz.  	 calls 1 funz.
sPrintOneLemma                                  called by 1 funz.  	 non chiama nessuno
searchAllWordWithPrefixInAlphaList              called by 1 funz.  	 calls 2 funz.
setHtmlEnv                                      called by 1 funz.  	 calls 1 funz.
showErrMsg                                      called by 1 funz.  	 calls 1 funz.
sortWordListByFreq_and_row_priority             called by 1 funz.  	 non chiama nessuno
sort_lemmaPara                                  called by 1 funz.  	 non chiama nessuno
split_ALL_word_dict_row                         called by 1 funz.  	 calls 2 funz.
split_one_word_dict_row                         called by 1 funz.  	 non chiama nessuno
test_all_folder                                 called by 1 funz.  	 calls 1 funz.
test_folder_exist                               called by 1 funz.  	 calls 1 funz.
update_rowTranslation                           called by 1 funz.  	 non chiama nessuno
writeTextRowSlice                               called by 1 funz.  	 calls 1 funz.
-no func -                                      called by 0 funz.  	 non chiama nessuno
