lista funzioni
func -no func -                                      file 0 -no func -
func begin                                           file 1 begin.go
func build_and_elab_word_list                        file 1 begin.go
func getPgmArgs                                      file 1 begin.go
func read_all_files                                  file 1 begin.go
func test_all_folder                                 file 1 begin.go
func get_all_binds                                   file 2 bind_go__passToJS_.go
func bind_go_passToJs_html_is_ready                  file 2 bind_go__passToJS_.go
func bind_go_passToJs_html_and_go_ready              file 2 bind_go__passToJS_.go
func getInt                                          file 2 bind_go__passToJS_.go
func showErrMsg                                      file 2 bind_go__passToJS_.go
func showErrMsg2                                     file 2 bind_go__passToJS_.go
func showInfoRead                                    file 2 bind_go__passToJS_.go
func isNumber                                        file 2 bind_go__passToJS_.go
func bind_go_passToJs_betweenLemmaList_V3            file 3 bind_go_between_lemmaList.go
func bind_go_passToJs_betweenLemmaList_V4            file 3 bind_go_between_lemmaList.go
func notFoundLemma_row                               file 3 bind_go_between_lemmaList.go
func bind_go_passToJs_suffixLemmaList                file 3 bind_go_between_lemmaList.go
func bind_go_passToJs_prefixWordList                 file 4 bind_go_between_wordList_V3.go
func get_word_row_list                               file 4 bind_go_between_wordList_V3.go
func bind_go_passToJs_betweenWordList_V3             file 4 bind_go_between_wordList_V3.go
func word_to_row                                     file 4 bind_go_between_wordList_V3.go
func intSliceToString                                file 4 bind_go_between_wordList_V3.go
func notFoundWord_row                                file 4 bind_go_between_wordList_V3.go
func bind_go_passToJs_suffixWordList                 file 4 bind_go_between_wordList_V3.go
func bind_go_passToJs_lemmaWordList                  file 5 bind_go_lemma_wordlist.go
func containIntList                                  file 5 bind_go_lemma_wordlist.go
func lemma_word_to_row                               file 5 bind_go_lemma_wordlist.go
func build_one_lemma_row_word                        file 5 bind_go_lemma_wordlist.go
func bind_go_passToJs_getIxRowFromGroup              file 6 bind_go_row.go
func write_lastValueSets                             file 6 bind_go_row.go
func bind_go_passToJs_wordList                       file 7 bind_go_word.go
func print_wordIx                                    file 7 bind_go_word.go
func bind_go_passToJs_getWordByIndex2                file 7 bind_go_word.go
func bind_go_passToJs_word_known2                    file 7 bind_go_word.go
func bind_go_passToJs_word_known                     file 7 bind_go_word.go
func bind_go_passToJs_getWordByIndex                 file 7 bind_go_word.go
func bind_go_passToJs_getRowsByIxWord                file 7 bind_go_word.go
func bind_go_passToJs_getRowsByIxLemma               file 7 bind_go_word.go
func getRowIndicesFromIxFreqWord                     file 7 bind_go_word.go
func add_wordCombinations                            file 8 bind_go_word_to_row.go
func getRowIndexFromWordIndex                        file 8 bind_go_word_to_row.go
func PROVAbind_go_passToJs_thisWordRowList           file 8 bind_go_word_to_row.go
func bind_go_passToJs_thisWordRowList                file 8 bind_go_word_to_row.go
func getWordList                                     file 8 bind_go_word_to_row.go
func bind_go_passToJs_someWordsRowList               file 8 bind_go_word_to_row.go
func OLD_bind_go_passToJs_thisWordRowList            file 8 bind_go_word_to_row.go
func fun_wordListToRowList_head                      file 8 bind_go_word_to_row.go
func fun_wordListToRowList_dett                      file 8 bind_go_word_to_row.go
func bind_go_passToJs_rowList                        file 8 bind_go_word_to_row.go
func tranFromIxLemma                                 file 8 bind_go_word_to_row.go
func listStringLemmaSlice_Tran                       file 8 bind_go_word_to_row.go
func bind_go_passToJs_rowWordList                    file 8 bind_go_word_to_row.go
func cleanRow                                        file 8 bind_go_word_to_row.go
func bind_go_write_lang_dictionary                   file 9 bind_go_write.go
func bind_go_write_word_dictionary                   file 9 bind_go_write.go
func split_one_word_dict_row                         file 9 bind_go_write.go
func update_rowTranslation                           file 9 bind_go_write.go
func bind_go_write_row_dictionary                    file 9 bind_go_write.go
func writeTextRowSlice                               file 9 bind_go_write.go
func split_ALL_word_dict_row                         file 9 bind_go_write.go
func bind_go_passToJs_write_WordsToLearn             file 9 bind_go_write.go
func buildListLemmaSlice                             file 10 buildLemma.go
func appendOneLemma                                  file 10 buildLemma.go
func lemmaSliceUpdateSubLemma                        file 10 buildLemma.go
func getAllWords                                     file 11 build_word_list.go
func buildWordList                                   file 11 build_word_list.go
func checkTheWord                                    file 11 build_word_list.go
func addCodedWordToWordSlice                         file 11 build_word_list.go
func addTotRowToWord                                 file 11 build_word_list.go
func elabWordList                                    file 14 elab_word_list.go
func elabWordAlpha_buildWordFreqList                 file 14 elab_word_list.go
func putWordFrequenceInRowArray                      file 14 elab_word_list.go
func put_a_priority_to_the_row_of_each_word          file 14 elab_word_list.go
func build_uniqueWord_byFreqAlpha                    file 14 elab_word_list.go
func build_lemma_word_ix                             file 14 elab_word_list.go
func sortWordListByFreq_and_row_priority             file 14 elab_word_list.go
func addWordLemmaTranLevelParadigma                  file 14 elab_word_list.go
func compound_lemma                                  file 14 elab_word_list.go
func sPrintOneLemma                                  file 14 elab_word_list.go
func contains                                        file 14 elab_word_list.go
func build_listOfLemmaForAWord                       file 14 elab_word_list.go
func add_ixWord_to_WordSliceFreq                     file 14 elab_word_list.go
func addUnknowToLemma                                file 14 elab_word_list.go
func TOGLIfromLemmaTo3List                           file 14 elab_word_list.go
func stdCode                                         file 15 encode_word.go
func seqCode                                         file 15 encode_word.go
func go_exec_js_function                             file 17 go_exec_js_function.go
func go_exec_js_functionX                            file 17 go_exec_js_function.go
func getScreenXY                                     file 18 html_env.go
func begin_GO_HTML_Talk                              file 18 html_env.go
func setHtmlEnv                                      file 18 html_env.go
func getCompleteHtmlPath                             file 18 html_env.go
func putFileError                                    file 18 html_env.go
func lookForLemma                                    file 19 lookFor.go
func lookForAllLemmas                                file 19 lookFor.go
func lookForAllLemmas2                               file 19 lookFor.go
func lookForAllParadigma                             file 19 lookFor.go
func lookForParadigma                                file 19 lookFor.go
func lookForAllTran                                  file 19 lookFor.go
func lookForTranslation                              file 19 lookFor.go
func lookForWordLemmaPair                            file 19 lookFor.go
func lookForWordInUniqueAlpha                        file 19 lookFor.go
func searchAllWordWithPrefixInAlphaList              file 19 lookFor.go
func testGenericWord                                 file 19 lookFor.go
func lookForLemmaWord                                file 19 lookFor.go
func MyMain                                          file 20 myMain.go
func endBegin                                        file 20 myMain.go
func read_dictLang_file                              file 20 myMain.go
func check                                           file 20 myMain.go
func test_folder_exist                               file 21 read_any_text_file.go
func getFileByteSize                                 file 21 read_any_text_file.go
func myOpenRead                                      file 21 read_any_text_file.go
func rowListFromFile                                 file 21 read_any_text_file.go
func read_control_file                               file 22 read_control_file.go
func read_lastValueSets2                             file 23 read_lastValueSets2.go
func getMainPageLastVal2                             file 23 read_lastValueSets2.go
func read_dictRow_Orig_and_Tran_file                 file 24 read_numbered_row_text.go
func get_rowid2                                      file 24 read_numbered_row_text.go
func findIndex                                       file 25 read_paradigma.go
func read_ParadigmaFile                              file 25 read_paradigma.go
func sort_lemmaPara                                  file 25 read_paradigma.go
func read_dictLemmaTran_file                         file 26 read_translation.go
func sort_lemmaTran2                                 file 26 read_translation.go
func read_lemma_file                                 file 27 read_word_lemma.go
func addToCurrentLemmaPair                           file 27 read_word_lemma.go
func check_wordLemma_sameCode                        file 27 read_word_lemma.go
func read_wordsToLearn                               file 28 read_words_to_learn.go
func read_languageFile                               file 29 separablePrefixes.go
func get_separablePrefix                             file 29 separablePrefixes.go
func buildStatistics                                 file 30 statistics.go
func stat_level                                      file 30 statistics.go
func stat_useWord                                    file 30 statistics.go
func prtFloat                                        file 30 statistics.go
func prtFloat1                                       file 30 statistics.go
func prtInt                                          file 30 statistics.go
func reverseString                                   file 32 suffix_lemma_word.go
func lookForInverse                                  file 32 suffix_lemma_word.go
func loadInverseLemmaSlice                           file 32 suffix_lemma_word.go
func getListInverseLemmaIndex                        file 32 suffix_lemma_word.go
func provaInverseLemma                               file 32 suffix_lemma_word.go
func testInverseLemma                                file 32 suffix_lemma_word.go
func loadInverseWordSlice                            file 32 suffix_lemma_word.go
func getListInverseWordIndex                         file 32 suffix_lemma_word.go
func provaInverseWord                                file 32 suffix_lemma_word.go
func rewrite_word_lemma_dictionary                   file 33 write_and_rewrite.go
